Territory_ID,Territory,Territory_acr,Gender_ID,Gender,ages from,ages to,Year,Quarter,Unemployment rate
1,Italy,IT,1,males,15,24,2004.0,Total,20.664027
1,Italy,IT,1,males,15,24,2004.0,2.0,21.089639
1,Italy,IT,1,males,15,24,2004.0,1.0,20.361498
1,Italy,IT,1,males,15,24,2004.0,4.0,22.135774
1,Italy,IT,1,males,15,24,2004.0,3.0,19.101695
1,Italy,IT,1,males,15,24,2005.0,Total,21.657426
1,Italy,IT,1,males,15,24,2005.0,1.0,22.979273
1,Italy,IT,1,males,15,24,2005.0,2.0,20.968454
1,Italy,IT,1,males,15,24,2005.0,4.0,22.33763
1,Italy,IT,1,males,15,24,2005.0,3.0,20.334993
1,Italy,IT,1,males,15,24,2006.0,Total,19.278014
1,Italy,IT,1,males,15,24,2006.0,2.0,18.128099
1,Italy,IT,1,males,15,24,2006.0,1.0,21.217992
1,Italy,IT,1,males,15,24,2006.0,4.0,20.357487
1,Italy,IT,1,males,15,24,2006.0,3.0,17.406395
1,Italy,IT,1,males,15,24,2007.0,Total,18.361905
1,Italy,IT,1,males,15,24,2007.0,1.0,18.973178
1,Italy,IT,1,males,15,24,2007.0,2.0,16.99763
1,Italy,IT,1,males,15,24,2007.0,4.0,20.874079
1,Italy,IT,1,males,15,24,2007.0,3.0,16.714555
1,Italy,IT,1,males,15,24,2008.0,Total,18.834026
1,Italy,IT,1,males,15,24,2008.0,2.0,17.453891
1,Italy,IT,1,males,15,24,2008.0,1.0,18.544872
1,Italy,IT,1,males,15,24,2008.0,4.0,21.577993
1,Italy,IT,1,males,15,24,2008.0,3.0,17.918874
1,Italy,IT,1,males,15,24,2009.0,Total,23.324961
1,Italy,IT,1,males,15,24,2009.0,1.0,23.270173
1,Italy,IT,1,males,15,24,2009.0,2.0,21.431496
1,Italy,IT,1,males,15,24,2009.0,4.0,26.554045
1,Italy,IT,1,males,15,24,2009.0,3.0,22.010909
1,Italy,IT,1,males,15,24,2010.0,Total,27.020784
1,Italy,IT,1,males,15,24,2010.0,2.0,27.658469
