Country,Gender_ID,Gender,NationalUNEM_R,Lower_Age,Upper_Age,Province,ProvinceUNEM_R,Year,Quarter
Italy,1,males,27.731503,15,24,Nord,17.770927,2011,1
Italy,1,males,27.731503,15,24,Nord-ovest,19.687084,2011,1
Italy,1,males,27.731503,15,24,Nord-est,15.035054,2011,1
Italy,1,males,27.731503,15,24,Centro (I),28.585316,2011,1
Italy,1,males,27.731503,15,24,Mezzogiorno,39.233417,2011,1
Italy,1,males,24.262442,15,24,Nord,15.182726,2011,2
Italy,1,males,24.262442,15,24,Nord-ovest,16.058971,2011,2
Italy,1,males,24.262442,15,24,Nord-est,13.949743,2011,2
Italy,1,males,24.262442,15,24,Centro (I),19.073153,2011,2
Italy,1,males,24.262442,15,24,Mezzogiorno,37.699939,2011,2
Italy,1,males,30.94774,15,24,Nord,21.85136,2011,4
Italy,1,males,30.94774,15,24,Nord-ovest,21.853355,2011,4
Italy,1,males,30.94774,15,24,Nord-est,21.848573,2011,4
Italy,1,males,30.94774,15,24,Centro (I),31.670517,2011,4
Italy,1,males,30.94774,15,24,Mezzogiorno,42.033609,2011,4
Italy,1,males,25.146154,15,24,Nord,17.050475,2011,3
Italy,1,males,25.146154,15,24,Nord-ovest,20.027972,2011,3
Italy,1,males,25.146154,15,24,Nord-est,13.071073,2011,3
Italy,1,males,25.146154,15,24,Centro (I),24.087733,2011,3
Italy,1,males,25.146154,15,24,Mezzogiorno,36.078955,2011,3
Italy,1,males,33.578689,15,24,Nord,22.939572,2012,2
Italy,1,males,33.578689,15,24,Nord-ovest,24.933073,2012,2
Italy,1,males,33.578689,15,24,Nord-est,20.152415,2012,2
Italy,1,males,33.578689,15,24,Centro (I),32.06001,2012,2
Italy,1,males,33.578689,15,24,Mezzogiorno,46.71871,2012,2
Italy,1,males,33.291012,15,24,Nord,23.252058,2012,1
Italy,1,males,33.291012,15,24,Nord-ovest,24.92248,2012,1
Italy,1,males,33.291012,15,24,Nord-est,21.025125,2012,1
Italy,1,males,33.291012,15,24,Centro (I),28.460086,2012,1
Italy,1,males,33.291012,15,24,Mezzogiorno,48.070481,2012,1
Italy,1,males,37.317133,15,24,Nord,27.414997,2012,4
Italy,1,males,37.317133,15,24,Nord-ovest,30.085594,2012,4
Italy,1,males,37.317133,15,24,Nord-est,24.09862,2012,4
Italy,1,males,37.317133,15,24,Centro (I),38.144333,2012,4
Italy,1,males,37.317133,15,24,Mezzogiorno,48.064812,2012,4
Italy,1,males,30.994315,15,24,Nord,22.130127,2012,3
Italy,1,males,30.994315,15,24,Nord-ovest,25.478373,2012,3
Italy,1,males,30.994315,15,24,Nord-est,17.773611,2012,3
Italy,1,males,30.994315,15,24,Centro (I),27.221653,2012,3
Italy,1,males,30.994315,15,24,Mezzogiorno,43.392473,2012,3
Italy,1,males,41.236548,15,24,Nord,31.489592,2013,1
Italy,1,males,41.236548,15,24,Nord-ovest,36.389165,2013,1
Italy,1,males,41.236548,15,24,Nord-est,24.787196,2013,1
Italy,1,males,41.236548,15,24,Centro (I),38.509176,2013,1
Italy,1,males,41.236548,15,24,Mezzogiorno,53.341842,2013,1
Italy,1,males,37.42161,15,24,Nord,25.251433,2013,2
Italy,1,males,37.42161,15,24,Nord-ovest,27.544791,2013,2
Italy,1,males,37.42161,15,24,Nord-est,22.114569,2013,2
Italy,1,males,37.42161,15,24,Centro (I),36.177769,2013,2
Italy,1,males,37.42161,15,24,Mezzogiorno,52.019848,2013,2
Italy,1,males,40.216387,15,24,Nord,30.414195,2013,4
Italy,1,males,40.216387,15,24,Nord-ovest,34.06214,2013,4
Italy,1,males,40.216387,15,24,Nord-est,24.914129,2013,4
Italy,1,males,40.216387,15,24,Centro (I),34.928508,2013,4
Italy,1,males,40.216387,15,24,Mezzogiorno,53.790775,2013,4
Italy,1,males,37.001133,15,24,Nord,26.319007,2013,3
Italy,1,males,37.001133,15,24,Nord-ovest,30.033473,2013,3
Italy,1,males,37.001133,15,24,Nord-est,20.825009,2013,3
Italy,1,males,37.001133,15,24,Centro (I),34.906924,2013,3
Italy,1,males,37.001133,15,24,Mezzogiorno,50.134561,2013,3
Italy,1,males,41.766559,15,24,Nord,29.612749,2014,2
Italy,1,males,41.766559,15,24,Nord-ovest,34.479059,2014,2
Italy,1,males,41.766559,15,24,Nord-est,22.812896,2014,2
Italy,1,males,41.766559,15,24,Centro (I),39.719066,2014,2
Italy,1,males,41.766559,15,24,Mezzogiorno,56.80297,2014,2
Italy,1,males,44.771906,15,24,Nord,31.131108,2014,1
Italy,1,males,44.771906,15,24,Nord-ovest,34.916676,2014,1
Italy,1,males,44.771906,15,24,Nord-est,26.118542,2014,1
Italy,1,males,44.771906,15,24,Centro (I),44.256667,2014,1
Italy,1,males,44.771906,15,24,Mezzogiorno,61.2998,2014,1
Italy,1,males,40.328453,15,24,Nord,29.293617,2014,4
Italy,1,males,40.328453,15,24,Nord-ovest,34.71597,2014,4
Italy,1,males,40.328453,15,24,Nord-est,22.320579,2014,4
Italy,1,males,40.328453,15,24,Centro (I),40.81473,2014,4
Italy,1,males,40.328453,15,24,Mezzogiorno,52.883414,2014,4
Italy,1,males,38.452633,15,24,Nord,26.851968,2014,3
Italy,1,males,38.452633,15,24,Nord-ovest,31.673396,2014,3
Italy,1,males,38.452633,15,24,Nord-est,20.437143,2014,3
Italy,1,males,38.452633,15,24,Centro (I),37.063655,2014,3
Italy,1,males,38.452633,15,24,Mezzogiorno,52.096419,2014,3
Italy,1,males,42.132449,15,24,Nord,31.441619,2015,1
Italy,1,males,42.132449,15,24,Nord-ovest,36.524114,2015,1
Italy,1,males,42.132449,15,24,Nord-est,24.248515,2015,1
Italy,1,males,42.132449,15,24,Centro (I),41.619667,2015,1
Italy,1,males,42.132449,15,24,Mezzogiorno,54.021784,2015,1
Italy,1,males,39.773325,15,24,Nord,27.46542,2015,2
Italy,1,males,39.773325,15,24,Nord-ovest,32.559532,2015,2
Italy,1,males,39.773325,15,24,Nord-est,20.234966,2015,2
Italy,1,males,39.773325,15,24,Centro (I),36.16792,2015,2
Italy,1,males,39.773325,15,24,Mezzogiorno,54.793394,2015,2
Italy,1,males,39.187959,15,24,Nord,27.59504,2015,4
Italy,1,males,39.187959,15,24,Nord-ovest,32.47557,2015,4
Italy,1,males,39.187959,15,24,Nord-est,20.576733,2015,4
Italy,1,males,39.187959,15,24,Centro (I),38.233316,2015,4
Italy,1,males,39.187959,15,24,Mezzogiorno,52.471608,2015,4
Italy,1,males,33.990461,15,24,Nord,23.443017,2015,3
Italy,1,males,33.990461,15,24,Nord-ovest,25.866782,2015,3
Italy,1,males,33.990461,15,24,Nord-est,20.413877,2015,3
Italy,1,males,33.990461,15,24,Centro (I),32.347941,2015,3
Italy,1,males,33.990461,15,24,Mezzogiorno,47.824176,2015,3
Italy,1,males,34.978873,15,24,Nord,23.727373,2016,2
Italy,1,males,34.978873,15,24,Nord-ovest,26.925261,2016,2
Italy,1,males,34.978873,15,24,Nord-est,19.49771,2016,2
Italy,1,males,34.978873,15,24,Centro (I),32.849141,2016,2
Italy,1,males,34.978873,15,24,Mezzogiorno,48.030648,2016,2
Italy,1,males,39.796373,15,24,Nord,27.733043,2016,1
Italy,1,males,39.796373,15,24,Nord-ovest,33.47511,2016,1
Italy,1,males,39.796373,15,24,Nord-est,20.235878,2016,1
Italy,1,males,39.796373,15,24,Centro (I),36.924948,2016,1
Italy,1,males,39.796373,15,24,Mezzogiorno,53.62836,2016,1
Italy,1,males,38.42797,15,24,Nord,25.748423,2016,4
Italy,1,males,38.42797,15,24,Nord-ovest,29.804497,2016,4
Italy,1,males,38.42797,15,24,Nord-est,20.300645,2016,4
Italy,1,males,38.42797,15,24,Centro (I),36.8411,2016,4
Italy,1,males,38.42797,15,24,Mezzogiorno,54.555949,2016,4
Italy,1,males,32.094183,15,24,Nord,19.444705,2016,3
Italy,1,males,32.094183,15,24,Nord-ovest,22.540005,2016,3
Italy,1,males,32.094183,15,24,Nord-est,15.52541,2016,3
Italy,1,males,32.094183,15,24,Centro (I),32.699137,2016,3
Italy,1,males,32.094183,15,24,Mezzogiorno,46.866506,2016,3
Italy,1,males,35.729235,15,24,Nord,21.650718,2017,1
Italy,1,males,35.729235,15,24,Nord-ovest,25.268003,2017,1
Italy,1,males,35.729235,15,24,Nord-est,16.917727,2017,1
Italy,1,males,35.729235,15,24,Centro (I),31.765503,2017,1
Italy,1,males,35.729235,15,24,Mezzogiorno,54.386158,2017,1
Italy,1,males,33.043649,15,24,Nord,19.094893,2017,2
Italy,1,males,33.043649,15,24,Nord-ovest,22.67807,2017,2
Italy,1,males,33.043649,15,24,Nord-est,14.526646,2017,2
Italy,1,males,33.043649,15,24,Centro (I),30.96851,2017,2
Italy,1,males,33.043649,15,24,Mezzogiorno,50.090636,2017,2
Italy,1,males,32.47278,15,24,Nord,20.736793,2017,4
Italy,1,males,32.47278,15,24,Nord-ovest,22.358854,2017,4
Italy,1,males,32.47278,15,24,Nord-est,18.724554,2017,4
Italy,1,males,32.47278,15,24,Centro (I),32.127598,2017,4
Italy,1,males,32.47278,15,24,Mezzogiorno,47.988975,2017,4
Italy,1,males,30.346046,15,24,Nord,17.456778,2017,3
Italy,1,males,30.346046,15,24,Nord-ovest,20.324226,2017,3
Italy,1,males,30.346046,15,24,Nord-est,13.917454,2017,3
Italy,1,males,30.346046,15,24,Centro (I),30.530094,2017,3
Italy,1,males,30.346046,15,24,Mezzogiorno,45.60752,2017,3
Italy,1,males,29.887536,15,24,Nord,18.264427,2018,2
Italy,1,males,29.887536,15,24,Nord-ovest,21.182871,2018,2
Italy,1,males,29.887536,15,24,Nord-est,14.118366,2018,2
Italy,1,males,29.887536,15,24,Centro (I),31.778254,2018,2
Italy,1,males,29.887536,15,24,Mezzogiorno,45.294059,2018,2
Italy,1,males,31.274404,15,24,Nord,18.849363,2018,1
Italy,1,males,31.274404,15,24,Nord-ovest,20.346572,2018,1
Italy,1,males,31.274404,15,24,Nord-est,16.580495,2018,1
Italy,1,males,31.274404,15,24,Centro (I),28.721568,2018,1
Italy,1,males,31.274404,15,24,Mezzogiorno,50.05789,2018,1
Italy,1,males,31.747982,15,24,Nord,23.224717,2018,4
Italy,1,males,31.747982,15,24,Nord-ovest,27.362023,2018,4
Italy,1,males,31.747982,15,24,Nord-est,17.422455,2018,4
Italy,1,males,31.747982,15,24,Centro (I),27.473259,2018,4
Italy,1,males,31.747982,15,24,Mezzogiorno,46.976615,2018,4
Italy,1,males,28.623279,15,24,Nord,20.567007,2018,3
Italy,1,males,28.623279,15,24,Nord-ovest,24.976989,2018,3
Italy,1,males,28.623279,15,24,Nord-est,14.526548,2018,3
Italy,1,males,28.623279,15,24,Centro (I),24.788532,2018,3
Italy,1,males,28.623279,15,24,Mezzogiorno,41.60257,2018,3
Italy,1,males,31.468979,15,24,Nord,18.638104,2019,1
Italy,1,males,31.468979,15,24,Nord-ovest,21.493947,2019,1
Italy,1,males,31.468979,15,24,Nord-est,14.666336,2019,1
Italy,1,males,31.468979,15,24,Centro (I),26.181758,2019,1
Italy,1,males,31.468979,15,24,Mezzogiorno,52.789583,2019,1
Italy,1,males,26.553823,15,24,Nord,14.517499,2019,2
Italy,1,males,26.553823,15,24,Nord-ovest,15.082633,2019,2
Italy,1,males,26.553823,15,24,Nord-est,13.808513,2019,2
Italy,1,males,26.553823,15,24,Centro (I),25.950629,2019,2
Italy,1,males,26.553823,15,24,Mezzogiorno,44.436512,2019,2
Italy,1,males,27.112923,15,24,Nord,18.241839,2019,4
Italy,1,males,27.112923,15,24,Nord-ovest,19.111302,2019,4
Italy,1,males,27.112923,15,24,Nord-est,17.208422,2019,4
Italy,1,males,27.112923,15,24,Centro (I),25.855262,2019,4
Italy,1,males,27.112923,15,24,Mezzogiorno,40.762014,2019,4
Italy,1,males,26.058097,15,24,Nord,16.815612,2019,3
Italy,1,males,26.058097,15,24,Nord-ovest,17.360604,2019,3
Italy,1,males,26.058097,15,24,Nord-est,16.113857,2019,3
Italy,1,males,26.058097,15,24,Centro (I),24.637356,2019,3
Italy,1,males,26.058097,15,24,Mezzogiorno,38.99352,2019,3
Italy,1,males,22.555219,15,24,Nord,12.523796,2020,2
Italy,1,males,22.555219,15,24,Nord-ovest,13.439345,2020,2
Italy,1,males,22.555219,15,24,Nord-est,11.453185,2020,2
Italy,1,males,22.555219,15,24,Centro (I),20.66736,2020,2
Italy,1,males,22.555219,15,24,Mezzogiorno,39.351679,2020,2
Italy,1,males,28.49492,15,24,Nord,15.760664,2020,1
Italy,1,males,28.49492,15,24,Nord-ovest,19.715994,2020,1
Italy,1,males,28.49492,15,24,Nord-est,10.785696,2020,1
Italy,1,males,28.49492,15,24,Centro (I),27.256785,2020,1
Italy,1,males,28.49492,15,24,Mezzogiorno,47.554394,2020,1
Italy,1,males,30.432548,15,24,Nord,21.833085,2020,3
Italy,1,males,30.432548,15,24,Nord-ovest,23.243657,2020,3
Italy,1,males,30.432548,15,24,Nord-est,20.192134,2020,3
Italy,1,males,30.432548,15,24,Centro (I),36.636805,2020,3
Italy,1,males,30.432548,15,24,Mezzogiorno,39.879426,2020,3
Italy,1,males,31.103726,15,24,Nord,21.30345,2020,4
Italy,1,males,31.103726,15,24,Nord-ovest,22.974053,2020,4
Italy,1,males,31.103726,15,24,Nord-est,19.284128,2020,4
Italy,1,males,31.103726,15,24,Centro (I),36.766025,2020,4
Italy,1,males,31.103726,15,24,Mezzogiorno,41.410829,2020,4
Italy,1,males,32.298575,15,24,Nord,22.723349,2021,1
Italy,1,males,32.298575,15,24,Nord-ovest,25.568213,2021,1
Italy,1,males,32.298575,15,24,Nord-est,19.256106,2021,1
Italy,1,males,32.298575,15,24,Centro (I),35.650547,2021,1
Italy,1,males,32.298575,15,24,Mezzogiorno,43.500883,2021,1
Italy,1,males,27.377538,15,24,Nord,17.660776,2021,2
Italy,1,males,27.377538,15,24,Nord-ovest,20.746999,2021,2
Italy,1,males,27.377538,15,24,Nord-est,13.225875,2021,2
Italy,1,males,27.377538,15,24,Centro (I),22.946127,2021,2
Italy,1,males,27.377538,15,24,Mezzogiorno,43.279939,2021,2
Italy,1,males,23.814185,15,24,Nord,16.003741,2021,3
Italy,1,males,23.814185,15,24,Nord-ovest,18.287209,2021,3
Italy,1,males,23.814185,15,24,Nord-est,12.953268,2021,3
Italy,1,males,23.814185,15,24,Centro (I),26.939076,2021,3
Italy,1,males,23.814185,15,24,Mezzogiorno,34.042874,2021,3
Italy,1,males,27.374103,15,24,Nord,19.288542,2021,4
Italy,1,males,27.374103,15,24,Nord-ovest,20.328956,2021,4
Italy,1,males,27.374103,15,24,Nord-est,17.945455,2021,4
Italy,1,males,27.374103,15,24,Centro (I),32.298465,2021,4
Italy,1,males,27.374103,15,24,Mezzogiorno,36.831867,2021,4
Italy,1,males,23.944243,15,24,Nord,16.044092,2022,1
Italy,1,males,23.944243,15,24,Nord-ovest,16.894463,2022,1
Italy,1,males,23.944243,15,24,Nord-est,14.975136,2022,1
Italy,1,males,23.944243,15,24,Centro (I),25.709288,2022,1
Italy,1,males,23.944243,15,24,Mezzogiorno,35.551434,2022,1
Italy,1,males,21.904049,15,24,Nord,14.864514,2022,2
Italy,1,males,21.904049,15,24,Nord-ovest,15.715759,2022,2
Italy,1,males,21.904049,15,24,Nord-est,13.663666,2022,2
Italy,1,males,21.904049,15,24,Centro (I),21.058699,2022,2
Italy,1,males,21.904049,15,24,Mezzogiorno,33.75986,2022,2
Italy,1,males,21.045273,15,24,Nord,15.329657,2022,3
Italy,1,males,21.045273,15,24,Nord-ovest,18.766663,2022,3
Italy,1,males,21.045273,15,24,Nord-est,11.02243,2022,3
Italy,1,males,21.045273,15,24,Centro (I),15.816235,2022,3
Italy,1,males,21.045273,15,24,Mezzogiorno,34.128468,2022,3
Italy,1,males,22.409624,15,24,Nord,15.238868,2022,4
Italy,1,males,22.409624,15,24,Nord-ovest,18.116712,2022,4
Italy,1,males,22.409624,15,24,Nord-est,11.738066,2022,4
Italy,1,males,22.409624,15,24,Centro (I),22.917069,2022,4
Italy,1,males,22.409624,15,24,Mezzogiorno,33.223008,2022,4
Italy,2,females,32.915688,15,24,Nord,25.513046,2011,1
Italy,2,females,32.915688,15,24,Nord-ovest,28.67684,2011,1
Italy,2,females,32.915688,15,24,Nord-est,21.691558,2011,1
Italy,2,females,32.915688,15,24,Centro (I),30.035536,2011,1
Italy,2,females,32.915688,15,24,Mezzogiorno,46.02879,2011,1
Italy,2,females,32.685499,15,24,Nord,23.03466,2011,2
Italy,2,females,32.685499,15,24,Nord-ovest,26.961046,2011,2
Italy,2,females,32.685499,15,24,Nord-est,18.374803,2011,2
Italy,2,females,32.685499,15,24,Centro (I),31.84807,2011,2
Italy,2,females,32.685499,15,24,Mezzogiorno,46.109812,2011,2
Italy,2,females,34.441051,15,24,Nord,24.421839,2011,4
Italy,2,females,34.441051,15,24,Nord-ovest,24.31457,2011,4
Italy,2,females,34.441051,15,24,Nord-est,24.560908,2011,4
Italy,2,females,34.441051,15,24,Centro (I),35.317367,2011,4
Italy,2,females,34.441051,15,24,Mezzogiorno,49.386484,2011,4
Italy,2,females,28.340963,15,24,Nord,20.120592,2011,3
