Territory,Gender,Age Class,Duration of Unemployment,Quarter,Year,Unemployment Rate
Italy,females,15-64 ,total,3,2012,11.223012
Italy,females,15-64 ,total,1,2013,14.147245
Italy,females,15-64 ,total,2,2013,12.924722
Italy,females,15-64 ,total,4,2013,13.943919
Italy,females,15-64 ,total,3,2013,12.23304
Italy,females,15-64 ,total,2,2014,13.437152
Italy,females,15-64 ,total,1,2014,14.572098
Italy,females,15-64 ,total,4,2014,14.927744
Italy,females,15-64 ,total,3,2014,13.011561
Italy,females,15-64 ,total,1,2015,13.90995
Italy,females,15-64 ,total,2,2015,12.991991
Italy,females,15-64 ,total,4,2015,12.941001
Italy,females,15-64 ,total,3,2015,11.536798
Italy,females,15-64 ,total,2,2016,12.893493
Italy,females,15-64 ,total,1,2016,13.039107
Italy,females,15-64 ,total,4,2016,13.556285
Italy,females,15-64 ,total,3,2016,12.104602
Italy,females,15-64 ,total,1,2017,13.462651
Italy,females,15-64 ,total,2,2017,12.207209
Italy,females,15-64 ,total,4,2017,12.472137
Italy,females,15-64 ,total,3,2017,11.960914
Italy,females,15-64 ,total,2,2018,11.893917
Italy,females,15-64 ,total,1,2018,12.929925
Italy,females,15-64 ,total,4,2018,12.131955
Italy,females,15-64 ,total,3,2018,10.49762
Italy,females,15-64 ,total,1,2019,12.216666
Italy,females,15-64 ,total,2,2019,10.777539
Italy,females,15-64 ,total,4,2019,11.586253
Italy,females,15-64 ,total,3,2019,10.285423
Italy,females,15-64 ,total,2,2020,8.768689
Italy,females,15-64 ,total,1,2020,10.802384
Italy,females,15-64 ,total,3,2020,11.781555
Italy,females,15-64 ,total,4,2020,10.765334
Italy,females,15-64 ,total,1,2021,11.721216
Italy,females,15-64 ,total,2,2021,11.039089
Italy,females,15-64 ,total,3,2021,10.564927
Italy,females,15-64 ,total,4,2021,9.931529
Italy,females,15-64 ,total,1,2022,9.951236
Italy,females,15-64 ,total,2,2022,9.43901
Italy,females,15-64 ,total,3,2022,9.363454
Italy,females,15-64 ,total,4,2022,9.164797
Italy,total,15-64 ,total,1,2011,8.832618
Italy,total,15-64 ,total,2,2011,7.961248
Italy,total,15-64 ,total,4,2011,9.852209
Italy,total,15-64 ,total,3,2011,7.85991
Italy,total,15-64 ,total,2,2012,10.812888
Italy,total,15-64 ,total,1,2012,11.202453
Italy,total,15-64 ,total,4,2012,11.977409
Italy,total,15-64 ,total,3,2012,10.063309
Italy,total,15-64 ,total,1,2013,13.163737
Italy,total,15-64 ,total,2,2013,12.379317
Italy,total,15-64 ,total,4,2013,12.990018
Italy,total,15-64 ,total,3,2013,11.593481
Italy,total,15-64 ,total,2,2014,12.554821
Italy,total,15-64 ,total,1,2014,13.908426
Italy,total,15-64 ,total,4,2014,13.603726
Italy,total,15-64 ,total,3,2014,12.060721
Italy,total,15-64 ,total,1,2015,13.290271
Italy,total,15-64 ,total,2,2015,12.416858
Italy,total,15-64 ,total,4,2015,12.174573
Italy,total,15-64 ,total,3,2015,10.80067
Italy,total,15-64 ,total,2,2016,11.76759
Italy,total,15-64 ,total,1,2016,12.349358
Italy,total,15-64 ,total,4,2016,12.40156
Italy,total,15-64 ,total,3,2016,11.140849
Italy,total,15-64 ,total,1,2017,12.37629
Italy,total,15-64 ,total,2,2017,11.173934
Italy,total,15-64 ,total,4,2017,11.421964
Italy,total,15-64 ,total,3,2017,10.785811
Italy,total,15-64 ,total,2,2018,10.86861
Italy,total,15-64 ,total,1,2018,11.750929
Italy,total,15-64 ,total,4,2018,10.987755
Italy,total,15-64 ,total,3,2018,9.461542
Italy,total,15-64 ,total,1,2019,11.247849
Italy,total,15-64 ,total,2,2019,9.897603
Italy,total,15-64 ,total,4,2019,10.056677
Italy,total,15-64 ,total,3,2019,9.250059
Italy,total,15-64 ,total,2,2020,8.005461
Italy,total,15-64 ,total,1,2020,9.666615
Italy,total,15-64 ,total,3,2020,10.452217
Italy,total,15-64 ,total,4,2020,9.940387
Italy,total,15-64 ,total,1,2021,10.854204
Italy,total,15-64 ,total,2,2021,9.773568
Italy,total,15-64 ,total,3,2021,9.006384
Italy,total,15-64 ,total,4,2021,9.221591
Italy,total,15-64 ,total,1,2022,8.897782
Italy,total,15-64 ,total,2,2022,8.105212
Italy,total,15-64 ,total,3,2022,7.843127
Italy,total,15-64 ,total,4,2022,8.064684
Nord,males,15-64 ,total,1,2011,5.357544
Nord,males,15-64 ,total,2,2011,4.546426
Nord,males,15-64 ,total,4,2011,6.125603
Nord,males,15-64 ,total,3,2011,4.570251
Nord,males,15-64 ,total,2,2012,6.977553
Nord,males,15-64 ,total,1,2012,6.769316
Nord,males,15-64 ,total,4,2012,7.297167
Nord,males,15-64 ,total,3,2012,6.108376
Nord,males,15-64 ,total,1,2013,8.555763
Nord,males,15-64 ,total,2,2013,7.830031
Nord,males,15-64 ,total,4,2013,8.101089
Nord,males,15-64 ,total,3,2013,7.088187
Nord,males,15-64 ,total,2,2014,8.008861
Nord,males,15-64 ,total,1,2014,8.945275
Nord,males,15-64 ,total,4,2014,8.117607
Nord,males,15-64 ,total,3,2014,7.298933
Nord,males,15-64 ,total,1,2015,8.348624
Nord,males,15-64 ,total,2,2015,7.467845
Nord,males,15-64 ,total,4,2015,7.557107
Nord,males,15-64 ,total,3,2015,6.697727
Nord,males,15-64 ,total,2,2016,6.712025
Nord,males,15-64 ,total,1,2016,7.458699
Nord,males,15-64 ,total,4,2016,7.162832
Nord,males,15-64 ,total,3,2016,5.817691
Nord,males,15-64 ,total,1,2017,6.612436
Nord,males,15-64 ,total,2,2017,5.752954
Nord,males,15-64 ,total,4,2017,6.061634
Nord,males,15-64 ,total,3,2017,5.540691
Nord,males,15-64 ,total,2,2018,5.767323
Nord,males,15-64 ,total,1,2018,6.286451
Nord,males,15-64 ,total,4,2018,5.793699
Nord,males,15-64 ,total,3,2018,5.082535
Nord,males,15-64 ,total,1,2019,5.750436
Nord,males,15-64 ,total,2,2019,4.817574
Nord,males,15-64 ,total,4,2019,4.95654
Nord,males,15-64 ,total,3,2019,4.717677
Nord,males,15-64 ,total,2,2020,4.35431
Nord,males,15-64 ,total,1,2020,4.788818
Nord,males,15-64 ,total,3,2020,5.922456
Nord,males,15-64 ,total,4,2020,5.577062
Nord,males,15-64 ,total,1,2021,6.042134
Nord,males,15-64 ,total,2,2021,5.052975
Nord,males,15-64 ,total,3,2021,4.423089
Nord,males,15-64 ,total,4,2021,5.14981
Nord,males,15-64 ,total,1,2022,5.014688
Nord,males,15-64 ,total,2,2022,4.076267
Nord,males,15-64 ,total,3,2022,3.851363
Nord,males,15-64 ,total,4,2022,3.840054
Nord,females,15-64 ,total,1,2011,7.084725
Nord,females,15-64 ,total,2,2011,6.230541
Nord,females,15-64 ,total,4,2011,7.899184
Nord,females,15-64 ,total,3,2011,6.243241
Nord,females,15-64 ,total,2,2012,8.196077
Nord,females,15-64 ,total,1,2012,8.890401
Nord,females,15-64 ,total,4,2012,9.284733
Nord,females,15-64 ,total,3,2012,8.255561
Nord,females,15-64 ,total,1,2013,10.614238
Nord,females,15-64 ,total,2,2013,8.943607
Nord,females,15-64 ,total,4,2013,10.284039
Nord,females,15-64 ,total,3,2013,8.615421
Nord,females,15-64 ,total,2,2014,9.117299
Nord,females,15-64 ,total,1,2014,10.610987
Nord,females,15-64 ,total,4,2014,10.678059
Nord,females,15-64 ,total,3,2014,8.729925
Nord,females,15-64 ,total,1,2015,10.193764
Nord,females,15-64 ,total,2,2015,9.00149
Nord,females,15-64 ,total,4,2015,9.310723
Nord,females,15-64 ,total,3,2015,8.090513
Nord,females,15-64 ,total,2,2016,8.661906
Nord,females,15-64 ,total,1,2016,9.168482
Nord,females,15-64 ,total,4,2016,9.048575
Nord,females,15-64 ,total,3,2016,8.362768
Nord,females,15-64 ,total,1,2017,9.027555
Nord,females,15-64 ,total,2,2017,7.868664
Nord,females,15-64 ,total,4,2017,8.247851
Nord,females,15-64 ,total,3,2017,8.187827
Nord,females,15-64 ,total,2,2018,7.807605
Nord,females,15-64 ,total,1,2018,8.255508
Nord,females,15-64 ,total,4,2018,8.442254
Nord,females,15-64 ,total,3,2018,6.636505
Nord,females,15-64 ,total,1,2019,8.259777
Nord,females,15-64 ,total,2,2019,7.003419
Nord,females,15-64 ,total,4,2019,7.755855
Nord,females,15-64 ,total,3,2019,7.047393
Nord,females,15-64 ,total,2,2020,6.125115
Nord,females,15-64 ,total,1,2020,7.049097
Nord,females,15-64 ,total,3,2020,7.982602
Nord,females,15-64 ,total,4,2020,7.672968
Nord,females,15-64 ,total,1,2021,8.097515
Nord,females,15-64 ,total,2,2021,7.442895
Nord,females,15-64 ,total,3,2021,6.721016
Nord,females,15-64 ,total,4,2021,6.637637
Nord,females,15-64 ,total,1,2022,6.811268
Nord,females,15-64 ,total,2,2022,6.290394
Nord,females,15-64 ,total,3,2022,6.174812
Nord,females,15-64 ,total,4,2022,5.929159
Nord,total,15-64 ,total,1,2011,6.120629
Nord,total,15-64 ,total,2,2011,5.289151
Nord,total,15-64 ,total,4,2011,6.912431
Nord,total,15-64 ,total,3,2011,5.300663
Nord,total,15-64 ,total,2,2012,7.522593
Nord,total,15-64 ,total,1,2012,7.717137
Nord,total,15-64 ,total,4,2012,8.182035
Nord,total,15-64 ,total,3,2012,7.063021
Nord,total,15-64 ,total,1,2013,9.478574
Nord,total,15-64 ,total,2,2013,8.329852
Nord,total,15-64 ,total,4,2013,9.078366
Nord,total,15-64 ,total,3,2013,7.768478
Nord,total,15-64 ,total,2,2014,8.505242
Nord,total,15-64 ,total,1,2014,9.692927
Nord,total,15-64 ,total,4,2014,9.267497
Nord,total,15-64 ,total,3,2014,7.937847
Nord,total,15-64 ,total,1,2015,9.176996
Nord,total,15-64 ,total,2,2015,8.151482
Nord,total,15-64 ,total,4,2015,8.341944
Nord,total,15-64 ,total,3,2015,7.30968
Nord,total,15-64 ,total,2,2016,7.588431
Nord,total,15-64 ,total,1,2016,8.224825
Nord,total,15-64 ,total,4,2016,8.007857
Nord,total,15-64 ,total,3,2016,6.950078
Nord,total,15-64 ,total,1,2017,7.701261
Nord,total,15-64 ,total,2,2017,6.705314
Nord,total,15-64 ,total,4,2017,7.043364
Nord,total,15-64 ,total,3,2017,6.728303
Nord,total,15-64 ,total,2,2018,6.683598
Nord,total,15-64 ,total,1,2018,7.173767
Nord,total,15-64 ,total,4,2018,6.986251
Nord,total,15-64 ,total,3,2018,5.77231
Nord,total,15-64 ,total,1,2019,6.880983
Nord,total,15-64 ,total,2,2019,5.802904
Nord,total,15-64 ,total,4,2019,6.223334
Nord,total,15-64 ,total,3,2019,5.759651
Nord,total,15-64 ,total,2,2020,5.141847
Nord,total,15-64 ,total,1,2020,5.806045
Nord,total,15-64 ,total,3,2020,6.838526
Nord,total,15-64 ,total,4,2020,6.516284
Nord,total,15-64 ,total,1,2021,6.958498
Nord,total,15-64 ,total,2,2021,6.133273
Nord,total,15-64 ,total,3,2021,5.458364
Nord,total,15-64 ,total,4,2021,5.821268
Nord,total,15-64 ,total,1,2022,5.818178
Nord,total,15-64 ,total,2,2022,5.071415
Nord,total,15-64 ,total,3,2022,4.892297
Nord,total,15-64 ,total,4,2022,4.782734
Nord-ovest,males,15-64 ,total,1,2011,6.038513
Nord-ovest,males,15-64 ,total,2,2011,5.14467
Nord-ovest,males,15-64 ,total,4,2011,6.647551
Nord-ovest,males,15-64 ,total,3,2011,5.436842
Nord-ovest,males,15-64 ,total,2,2012,7.542231
Nord-ovest,males,15-64 ,total,1,2012,7.29841
Nord-ovest,males,15-64 ,total,4,2012,7.938806
Nord-ovest,males,15-64 ,total,3,2012,6.665908
Nord-ovest,males,15-64 ,total,1,2013,9.143123
Nord-ovest,males,15-64 ,total,2,2013,8.606423
Nord-ovest,males,15-64 ,total,4,2013,9.036342
Nord-ovest,males,15-64 ,total,3,2013,8.046954
Nord-ovest,males,15-64 ,total,2,2014,9.188161
Nord-ovest,males,15-64 ,total,1,2014,9.703547
Nord-ovest,males,15-64 ,total,4,2014,9.171255
Nord-ovest,males,15-64 ,total,3,2014,8.286161
Nord-ovest,males,15-64 ,total,1,2015,9.440031
Nord-ovest,males,15-64 ,total,2,2015,8.433574
Nord-ovest,males,15-64 ,total,4,2015,8.398608
Nord-ovest,males,15-64 ,total,3,2015,7.257423
Nord-ovest,males,15-64 ,total,2,2016,7.230838
Nord-ovest,males,15-64 ,total,1,2016,8.183187
Nord-ovest,males,15-64 ,total,4,2016,7.974577
Nord-ovest,males,15-64 ,total,3,2016,6.365203
Nord-ovest,males,15-64 ,total,1,2017,7.395217
Nord-ovest,males,15-64 ,total,2,2017,6.318909
Nord-ovest,males,15-64 ,total,4,2017,6.408587
Nord-ovest,males,15-64 ,total,3,2017,5.933423
Nord-ovest,males,15-64 ,total,2,2018,6.551399
Nord-ovest,males,15-64 ,total,1,2018,6.753471
Nord-ovest,males,15-64 ,total,4,2018,6.078767
Nord-ovest,males,15-64 ,total,3,2018,5.496836
Nord-ovest,males,15-64 ,total,1,2019,6.326796
Nord-ovest,males,15-64 ,total,2,2019,5.451516
Nord-ovest,males,15-64 ,total,4,2019,5.082822
Nord-ovest,males,15-64 ,total,3,2019,5.103581
Nord-ovest,males,15-64 ,total,2,2020,4.671361
Nord-ovest,males,15-64 ,total,1,2020,5.263324
Nord-ovest,males,15-64 ,total,3,2020,6.134917
Nord-ovest,males,15-64 ,total,4,2020,5.763854
Nord-ovest,males,15-64 ,total,1,2021,6.697242
Nord-ovest,males,15-64 ,total,2,2021,6.068751
Nord-ovest,males,15-64 ,total,3,2021,4.982693
Nord-ovest,males,15-64 ,total,4,2021,5.445262
Nord-ovest,males,15-64 ,total,1,2022,5.372086
Nord-ovest,males,15-64 ,total,2,2022,4.664503
Nord-ovest,males,15-64 ,total,3,2022,4.109576
Nord-ovest,males,15-64 ,total,4,2022,4.173043
Nord-ovest,females,15-64 ,total,1,2011,7.470203
Nord-ovest,females,15-64 ,total,2,2011,6.705651
Nord-ovest,females,15-64 ,total,4,2011,8.409759
Nord-ovest,females,15-64 ,total,3,2011,6.732924
Nord-ovest,females,15-64 ,total,2,2012,8.893945
Nord-ovest,females,15-64 ,total,1,2012,9.942807
Nord-ovest,females,15-64 ,total,4,2012,9.749269
Nord-ovest,females,15-64 ,total,3,2012,8.7383
Nord-ovest,females,15-64 ,total,1,2013,10.783947
Nord-ovest,females,15-64 ,total,2,2013,9.217502
Nord-ovest,females,15-64 ,total,4,2013,10.271615
Nord-ovest,females,15-64 ,total,3,2013,8.651996
Nord-ovest,females,15-64 ,total,2,2014,9.557209
Nord-ovest,females,15-64 ,total,1,2014,10.819467
Nord-ovest,females,15-64 ,total,4,2014,10.828989
Nord-ovest,females,15-64 ,total,3,2014,9.073945
Nord-ovest,females,15-64 ,total,1,2015,10.388194
Nord-ovest,females,15-64 ,total,2,2015,9.276429
Nord-ovest,females,15-64 ,total,4,2015,9.728142
Nord-ovest,females,15-64 ,total,3,2015,8.223495
Nord-ovest,females,15-64 ,total,2,2016,9.049731
Nord-ovest,females,15-64 ,total,1,2016,9.438231
Nord-ovest,females,15-64 ,total,4,2016,10.052643
Nord-ovest,females,15-64 ,total,3,2016,8.756529
Nord-ovest,females,15-64 ,total,1,2017,9.506404
Nord-ovest,females,15-64 ,total,2,2017,8.446245
Nord-ovest,females,15-64 ,total,4,2017,8.415669
Nord-ovest,females,15-64 ,total,3,2017,8.850079
Nord-ovest,females,15-64 ,total,2,2018,8.295997
Nord-ovest,females,15-64 ,total,1,2018,8.572403
Nord-ovest,females,15-64 ,total,4,2018,8.378499
Nord-ovest,females,15-64 ,total,3,2018,7.258953
Nord-ovest,females,15-64 ,total,1,2019,8.818381
Nord-ovest,females,15-64 ,total,2,2019,7.069915
Nord-ovest,females,15-64 ,total,4,2019,8.463919
Nord-ovest,females,15-64 ,total,3,2019,7.567767
Nord-ovest,females,15-64 ,total,2,2020,6.087124
Nord-ovest,females,15-64 ,total,1,2020,7.062309
Nord-ovest,females,15-64 ,total,3,2020,8.096534
Nord-ovest,females,15-64 ,total,4,2020,7.538846
Nord-ovest,females,15-64 ,total,1,2021,8.893665
Nord-ovest,females,15-64 ,total,2,2021,7.636798
Nord-ovest,females,15-64 ,total,3,2021,7.014227
Nord-ovest,females,15-64 ,total,4,2021,6.869545
Nord-ovest,females,15-64 ,total,1,2022,7.437944
Nord-ovest,females,15-64 ,total,2,2022,6.907605
Nord-ovest,females,15-64 ,total,3,2022,6.558379
Nord-ovest,females,15-64 ,total,4,2022,6.123887
Nord-ovest,total,15-64 ,total,1,2011,6.66891
Nord-ovest,total,15-64 ,total,2,2011,5.831082
Nord-ovest,total,15-64 ,total,4,2011,7.428209
Nord-ovest,total,15-64 ,total,3,2011,5.999483
Nord-ovest,total,15-64 ,total,2,2012,8.147088
Nord-ovest,total,15-64 ,total,1,2012,8.479375
Nord-ovest,total,15-64 ,total,4,2012,8.74478
Nord-ovest,total,15-64 ,total,3,2012,7.5899
Nord-ovest,total,15-64 ,total,1,2013,9.876264
Nord-ovest,total,15-64 ,total,2,2013,8.881591
Nord-ovest,total,15-64 ,total,4,2013,9.590323
Nord-ovest,total,15-64 ,total,3,2013,8.318399
Nord-ovest,total,15-64 ,total,2,2014,9.353189
Nord-ovest,total,15-64 ,total,1,2014,10.204213
Nord-ovest,total,15-64 ,total,4,2014,9.9194
Nord-ovest,total,15-64 ,total,3,2014,8.640161
Nord-ovest,total,15-64 ,total,1,2015,9.865568
Nord-ovest,total,15-64 ,total,2,2015,8.809374
Nord-ovest,total,15-64 ,total,4,2015,8.994793
Nord-ovest,total,15-64 ,total,3,2015,7.681742
Nord-ovest,total,15-64 ,total,2,2016,8.043636
Nord-ovest,total,15-64 ,total,1,2016,8.746986
Nord-ovest,total,15-64 ,total,4,2016,8.906526
Nord-ovest,total,15-64 ,total,3,2016,7.426241
Nord-ovest,total,15-64 ,total,1,2017,8.341472
Nord-ovest,total,15-64 ,total,2,2017,7.277137
Nord-ovest,total,15-64 ,total,4,2017,7.308181
Nord-ovest,total,15-64 ,total,3,2017,7.240999
Nord-ovest,total,15-64 ,total,2,2018,7.331029
Nord-ovest,total,15-64 ,total,1,2018,7.568814
Nord-ovest,total,15-64 ,total,4,2018,7.10918
Nord-ovest,total,15-64 ,total,3,2018,6.275805
Nord-ovest,total,15-64 ,total,1,2019,7.445383
Nord-ovest,total,15-64 ,total,2,2019,6.179959
Nord-ovest,total,15-64 ,total,4,2019,6.607683
Nord-ovest,total,15-64 ,total,3,2019,6.203005
Nord-ovest,total,15-64 ,total,2,2020,5.305057
Nord-ovest,total,15-64 ,total,1,2020,6.071162
Nord-ovest,total,15-64 ,total,3,2020,7.009676
Nord-ovest,total,15-64 ,total,4,2020,6.558668
Nord-ovest,total,15-64 ,total,1,2021,7.678997
Nord-ovest,total,15-64 ,total,2,2021,6.772784
Nord-ovest,total,15-64 ,total,3,2021,5.898975
Nord-ovest,total,15-64 ,total,4,2021,6.08869
Nord-ovest,total,15-64 ,total,1,2022,6.290296
Nord-ovest,total,15-64 ,total,2,2022,5.665727
Nord-ovest,total,15-64 ,total,3,2022,5.20389
Nord-ovest,total,15-64 ,total,4,2022,5.051397
Piemonte,males,15-64 ,total,2,2018,8.087172
Piemonte,males,15-64 ,total,1,2018,7.785743
Piemonte,males,15-64 ,total,4,2018,7.990208
Piemonte,males,15-64 ,total,3,2018,7.292484
Piemonte,males,15-64 ,total,1,2019,7.311297
Piemonte,males,15-64 ,total,2,2019,6.904254
Piemonte,males,15-64 ,total,4,2019,5.824458
Piemonte,males,15-64 ,total,3,2019,6.058047
Piemonte,males,15-64 ,total,2,2020,6.792659
Piemonte,males,15-64 ,total,1,2020,6.859674
Piemonte,males,15-64 ,total,3,2020,7.268259
Piemonte,males,15-64 ,total,4,2020,6.497958
Piemonte,males,15-64 ,total,1,2021,7.678313
Piemonte,males,15-64 ,total,2,2021,7.051248
Piemonte,males,15-64 ,total,3,2021,5.14139
Piemonte,males,15-64 ,total,4,2021,5.277211
Piemonte,males,15-64 ,total,1,2022,6.795173
Piemonte,males,15-64 ,total,2,2022,6.044512
Piemonte,males,15-64 ,total,3,2022,4.77389
Piemonte,males,15-64 ,total,4,2022,6.260386
Piemonte,females,15-64 ,total,2,2018,10.455138
Piemonte,females,15-64 ,total,1,2018,9.24621
Piemonte,females,15-64 ,total,4,2018,8.811301
Piemonte,females,15-64 ,total,3,2018,7.700279
Piemonte,females,15-64 ,total,1,2019,10.069072
Piemonte,females,15-64 ,total,2,2019,7.926434
Piemonte,females,15-64 ,total,4,2019,8.92024
Piemonte,females,15-64 ,total,3,2019,10.22442
Piemonte,females,15-64 ,total,2,2020,8.036359
Piemonte,females,15-64 ,total,1,2020,8.183876
Piemonte,females,15-64 ,total,3,2020,10.337586
Piemonte,females,15-64 ,total,4,2020,9.271032
Piemonte,females,15-64 ,total,1,2021,9.518953
Piemonte,females,15-64 ,total,2,2021,8.400791
Piemonte,females,15-64 ,total,3,2021,8.794812
Piemonte,females,15-64 ,total,4,2021,8.931134
Piemonte,females,15-64 ,total,1,2022,7.099698
Piemonte,females,15-64 ,total,2,2022,6.926782
Piemonte,females,15-64 ,total,3,2022,7.301895
Piemonte,females,15-64 ,total,4,2022,7.769409
Piemonte,total,15-64 ,total,2,2018,9.155201
Piemonte,total,15-64 ,total,1,2018,8.450918
Piemonte,total,15-64 ,total,4,2018,8.361784
Piemonte,total,15-64 ,total,3,2018,7.475178
Piemonte,total,15-64 ,total,1,2019,8.566446
Piemonte,total,15-64 ,total,2,2019,7.369652
Piemonte,total,15-64 ,total,4,2019,7.244067
Piemonte,total,15-64 ,total,3,2019,7.963237
Piemonte,total,15-64 ,total,2,2020,7.362576
Piemonte,total,15-64 ,total,1,2020,7.461003
Piemonte,total,15-64 ,total,3,2020,8.663531
Piemonte,total,15-64 ,total,4,2020,7.74387
Piemonte,total,15-64 ,total,1,2021,8.50896
Piemonte,total,15-64 ,total,2,2021,7.666256
Piemonte,total,15-64 ,total,3,2021,6.799585
Piemonte,total,15-64 ,total,4,2021,6.95121
Piemonte,total,15-64 ,total,1,2022,6.932217
Piemonte,total,15-64 ,total,2,2022,6.444788
Piemonte,total,15-64 ,total,3,2022,5.923116
Piemonte,total,15-64 ,total,4,2022,6.943905
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,2,2018,6.335212
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,1,2018,7.640024
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,4,2018,8.085564
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,3,2018,5.9486
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,1,2019,6.971264
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,2,2019,7.125898
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,4,2019,5.157779
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,3,2019,4.571183
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,2,2020,7.337759
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,1,2020,5.307263
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,3,2020,5.728653
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,4,2020,6.5029
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,1,2021,10.365262
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,2,2021,6.494455
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,3,2021,6.726131
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,4,2021,5.173514
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,1,2022,6.760204
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,2,2022,4.802997
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,3,2022,3.556603
Valle d'Aosta / Vallée d'Aoste,males,15-64 ,total,4,2022,2.80808
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,2,2018,7.958854
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,1,2018,6.448935
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,4,2018,8.926896
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,3,2018,6.343228
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,1,2019,7.130029
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,2,2019,7.155176
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,4,2019,7.59945
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,3,2019,7.176979
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,2,2020,3.550636
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,1,2020,5.158209
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,3,2020,5.898321
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,4,2020,7.154478
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,1,2021,10.322951
Valle d'Aosta / Vallée d'Aoste,females,15-64 ,total,2,2021,7.530621
