Territory,Gender,Age Class,Duration of Unemployment,Quarter,Year,Unemployment Rate
Italy,males,15-64 ,total,1,2011,8.18978
Italy,males,15-64 ,total,2,2011,7.161944
Italy,males,15-64 ,total,4,2011,9.033599
Italy,males,15-64 ,total,3,2011,6.966123
Italy,males,15-64 ,total,2,2012,10.209171
Italy,males,15-64 ,total,1,2012,10.403346
Italy,males,15-64 ,total,4,2012,11.157465
Italy,males,15-64 ,total,3,2012,9.212039
Italy,males,15-64 ,total,1,2013,12.424201
Italy,males,15-64 ,total,2,2013,11.971943
Italy,males,15-64 ,total,4,2013,12.272323
Italy,males,15-64 ,total,3,2013,11.121637
Italy,males,15-64 ,total,2,2014,11.890063
Italy,males,15-64 ,total,1,2014,13.406964
Italy,males,15-64 ,total,4,2014,12.595027
Italy,males,15-64 ,total,3,2014,11.351101
Italy,males,15-64 ,total,1,2015,12.823236
Italy,males,15-64 ,total,2,2015,11.987421
Italy,males,15-64 ,total,4,2015,11.605133
Italy,males,15-64 ,total,3,2015,10.264134
Italy,males,15-64 ,total,2,2016,10.921049
Italy,males,15-64 ,total,1,2016,11.834383
Italy,males,15-64 ,total,4,2016,11.531623
Italy,males,15-64 ,total,3,2016,10.423439
Italy,males,15-64 ,total,1,2017,11.5566
Italy,males,15-64 ,total,2,2017,10.392301
Italy,males,15-64 ,total,4,2017,10.62643
Italy,males,15-64 ,total,3,2017,9.904233
Italy,males,15-64 ,total,2,2018,10.088679
Italy,males,15-64 ,total,1,2018,10.85515
Italy,males,15-64 ,total,4,2018,10.121854
Italy,males,15-64 ,total,3,2018,8.691635
Italy,males,15-64 ,total,1,2019,10.508757
Italy,males,15-64 ,total,2,2019,9.227958
Italy,males,15-64 ,total,4,2019,8.890721
Italy,males,15-64 ,total,3,2019,8.474375
Italy,males,15-64 ,total,2,2020,7.442624
Italy,males,15-64 ,total,1,2020,8.805841
Italy,males,15-64 ,total,3,2020,9.466516
Italy,males,15-64 ,total,4,2020,9.322413
Italy,males,15-64 ,total,1,2021,10.206145
Italy,males,15-64 ,total,2,2021,8.815142
Italy,males,15-64 ,total,3,2021,7.83177
Italy,males,15-64 ,total,4,2021,8.678929
Italy,males,15-64 ,total,1,2022,8.104363
Italy,males,15-64 ,total,2,2022,7.092521
Italy,males,15-64 ,total,3,2022,6.699076
Italy,males,15-64 ,total,4,2022,7.223171
Italy,females,15-64 ,total,1,2011,9.725942
Italy,females,15-64 ,total,2,2011,9.07302
Italy,females,15-64 ,total,4,2011,10.971198
Italy,females,15-64 ,total,3,2011,9.116239
Italy,females,15-64 ,total,2,2012,11.628148
Italy,females,15-64 ,total,1,2012,12.281851
Italy,females,15-64 ,total,4,2012,13.075787
