Country,Region,Gender,ages from,ages to,Year,Yearly_TotalUnemploymentRate_R,Yearly_TotalUnemploymentRate_N,Quarter,Regional_UR,National_UR
Italy,Centro (I),females,15,24,2004,25.647614,27.310948,1.0,28.270221,27.5811
Italy,Mezzogiorno,females,15,24,2004,44.857174,27.310948,1.0,45.920425,27.5811
Italy,Nord,females,15,24,2004,15.191595,27.310948,1.0,13.594228,27.5811
Italy,Nord-est,females,15,24,2004,14.552232,27.310948,1.0,13.10442,27.5811
Italy,Nord-ovest,females,15,24,2004,15.685978,27.310948,1.0,13.968358,27.5811
Italy,Centro (I),females,15,24,2005,25.755701,27.606126,1.0,28.015023,28.60066
Italy,Mezzogiorno,females,15,24,2005,45.396221,27.606126,1.0,46.54158,28.60066
Italy,Nord,females,15,24,2005,15.955119,27.606126,1.0,16.052685,28.60066
Italy,Nord-est,females,15,24,2005,15.120308,27.606126,1.0,14.990425,28.60066
Italy,Nord-ovest,females,15,24,2005,16.603034,27.606126,1.0,16.913522,28.60066
Italy,Centro (I),females,15,24,2006,25.927753,25.461231,1.0,28.145904,28.335586
Italy,Mezzogiorno,females,15,24,2006,40.505872,25.461231,1.0,44.458807,28.335586
Italy,Nord,females,15,24,2006,14.67594,25.461231,1.0,16.480691,28.335586
Italy,Nord-est,females,15,24,2006,14.206395,25.461231,1.0,16.330952,28.335586
Italy,Nord-ovest,females,15,24,2006,15.042798,25.461231,1.0,16.592276,28.335586
Italy,Centro (I),females,15,24,2007,21.957148,23.342217,1.0,23.704696,23.514904
Italy,Mezzogiorno,females,15,24,2007,38.558087,23.342217,1.0,39.025955,23.514904
Italy,Nord,females,15,24,2007,13.918604,23.342217,1.0,13.322275,23.514904
Italy,Nord-est,females,15,24,2007,12.642494,23.342217,1.0,13.21884,23.514904
Italy,Nord-ovest,females,15,24,2007,14.866798,23.342217,1.0,13.401362,23.514904
Italy,Centro (I),females,15,24,2008,24.463689,24.682553,1.0,21.346537,24.840614
Italy,Mezzogiorno,females,15,24,2008,38.906803,24.682553,1.0,41.024062,24.840614
Italy,Nord,females,15,24,2008,14.892913,24.682553,1.0,14.821306,24.840614
Italy,Nord-est,females,15,24,2008,12.894097,24.682553,1.0,16.153695,24.840614
Italy,Nord-ovest,females,15,24,2008,16.42202,24.682553,1.0,13.873364,24.840614
Italy,Centro (I),females,15,24,2009,30.50275,28.556727,1.0,33.315906,30.158332
Italy,Mezzogiorno,females,15,24,2009,41.225328,28.556727,1.0,45.442948,30.158332
Italy,Nord,females,15,24,2009,19.47397,28.556727,1.0,18.860044,30.158332
Italy,Nord-est,females,15,24,2009,17.624462,28.556727,1.0,16.080901,30.158332
Italy,Nord-ovest,females,15,24,2009,20.88472,28.556727,1.0,20.969681,30.158332
Italy,Centro (I),females,15,24,2010,29.679019,29.436171,1.0,30.888797,29.7813
Italy,Mezzogiorno,females,15,24,2010,40.555752,29.436171,1.0,41.340571,29.7813
Italy,Nord,females,15,24,2010,21.749104,29.436171,1.0,21.631729,29.7813
Italy,Nord-est,females,15,24,2010,21.115662,29.436171,1.0,19.883058,29.7813
Italy,Nord-ovest,females,15,24,2010,22.249828,29.436171,1.0,22.992298,29.7813
Italy,Centro (I),females,15,24,2011,31.806184,32.159629,1.0,30.035536,32.915688
Italy,Mezzogiorno,females,15,24,2011,45.351473,32.159629,1.0,46.02879,32.915688
Italy,Nord,females,15,24,2011,23.323087,32.159629,1.0,25.513046,32.915688
Italy,Nord-est,females,15,24,2011,21.05774,32.159629,1.0,21.691558,32.915688
Italy,Nord-ovest,females,15,24,2011,25.177409,32.159629,1.0,28.67684,32.915688
Italy,Centro (I),females,15,24,2012,38.708464,37.57036,1.0,41.473313,39.095754
Italy,Mezzogiorno,females,15,24,2012,50.867505,37.57036,1.0,51.946809,39.095754
Italy,Nord,females,15,24,2012,27.470735,37.57036,1.0,29.207739,39.095754
Italy,Nord-est,females,15,24,2012,25.791707,37.57036,1.0,27.110514,39.095754
Italy,Nord-ovest,females,15,24,2012,28.668215,37.57036,1.0,30.733884,39.095754
Italy,Centro (I),females,15,24,2013,41.753801,41.409708,1.0,45.751345,42.606933
Italy,Mezzogiorno,females,15,24,2013,55.289741,41.409708,1.0,53.977295,42.606933
Italy,Nord,females,15,24,2013,31.075698,41.409708,1.0,32.852744,42.606933
Italy,Nord-est,females,15,24,2013,30.050766,41.409708,1.0,32.316432,42.606933
Italy,Nord-ovest,females,15,24,2013,31.830915,41.409708,1.0,33.2229,42.606933
