Country,Gender_ID,Gender,Time_Period,NationalUNEM_R,Lower_Age,Upper_Age,Province,RegionalUNEM_R
Italy,1,males,2011-Q1,27.731503,15,24,Nord,17.770927
Italy,1,males,2011-Q1,27.731503,15,24,Nord-ovest,19.687084
Italy,1,males,2011-Q1,27.731503,15,24,Nord-est,15.035054
Italy,1,males,2011-Q1,27.731503,15,24,Centro (I),28.585316
Italy,1,males,2011-Q1,27.731503,15,24,Mezzogiorno,39.233417
Italy,1,males,2011-Q2,24.262442,15,24,Nord,15.182726
Italy,1,males,2011-Q2,24.262442,15,24,Nord-ovest,16.058971
Italy,1,males,2011-Q2,24.262442,15,24,Nord-est,13.949743
Italy,1,males,2011-Q2,24.262442,15,24,Centro (I),19.073153
Italy,1,males,2011-Q2,24.262442,15,24,Mezzogiorno,37.699939
Italy,1,males,2011-Q4,30.94774,15,24,Nord,21.85136
Italy,1,males,2011-Q4,30.94774,15,24,Nord-ovest,21.853355
Italy,1,males,2011-Q4,30.94774,15,24,Nord-est,21.848573
Italy,1,males,2011-Q4,30.94774,15,24,Centro (I),31.670517
Italy,1,males,2011-Q4,30.94774,15,24,Mezzogiorno,42.033609
Italy,1,males,2011-Q3,25.146154,15,24,Nord,17.050475
Italy,1,males,2011-Q3,25.146154,15,24,Nord-ovest,20.027972
Italy,1,males,2011-Q3,25.146154,15,24,Nord-est,13.071073
Italy,1,males,2011-Q3,25.146154,15,24,Centro (I),24.087733
Italy,1,males,2011-Q3,25.146154,15,24,Mezzogiorno,36.078955
Italy,1,males,2012-Q2,33.578689,15,24,Nord,22.939572
Italy,1,males,2012-Q2,33.578689,15,24,Nord-ovest,24.933073
Italy,1,males,2012-Q2,33.578689,15,24,Nord-est,20.152415
Italy,1,males,2012-Q2,33.578689,15,24,Centro (I),32.06001
Italy,1,males,2012-Q2,33.578689,15,24,Mezzogiorno,46.71871
Italy,1,males,2012-Q1,33.291012,15,24,Nord,23.252058
Italy,1,males,2012-Q1,33.291012,15,24,Nord-ovest,24.92248
Italy,1,males,2012-Q1,33.291012,15,24,Nord-est,21.025125
Italy,1,males,2012-Q1,33.291012,15,24,Centro (I),28.460086
Italy,1,males,2012-Q1,33.291012,15,24,Mezzogiorno,48.070481
Italy,1,males,2012-Q4,37.317133,15,24,Nord,27.414997
Italy,1,males,2012-Q4,37.317133,15,24,Nord-ovest,30.085594
Italy,1,males,2012-Q4,37.317133,15,24,Nord-est,24.09862
Italy,1,males,2012-Q4,37.317133,15,24,Centro (I),38.144333
Italy,1,males,2012-Q4,37.317133,15,24,Mezzogiorno,48.064812
Italy,1,males,2012-Q3,30.994315,15,24,Nord,22.130127
Italy,1,males,2012-Q3,30.994315,15,24,Nord-ovest,25.478373
Italy,1,males,2012-Q3,30.994315,15,24,Nord-est,17.773611
Italy,1,males,2012-Q3,30.994315,15,24,Centro (I),27.221653
Italy,1,males,2012-Q3,30.994315,15,24,Mezzogiorno,43.392473
Italy,1,males,2013-Q1,41.236548,15,24,Nord,31.489592
Italy,1,males,2013-Q1,41.236548,15,24,Nord-ovest,36.389165
Italy,1,males,2013-Q1,41.236548,15,24,Nord-est,24.787196
Italy,1,males,2013-Q1,41.236548,15,24,Centro (I),38.509176
Italy,1,males,2013-Q1,41.236548,15,24,Mezzogiorno,53.341842
Italy,1,males,2013-Q2,37.42161,15,24,Nord,25.251433
Italy,1,males,2013-Q2,37.42161,15,24,Nord-ovest,27.544791
Italy,1,males,2013-Q2,37.42161,15,24,Nord-est,22.114569
Italy,1,males,2013-Q2,37.42161,15,24,Centro (I),36.177769
Italy,1,males,2013-Q2,37.42161,15,24,Mezzogiorno,52.019848
Italy,1,males,2013-Q4,40.216387,15,24,Nord,30.414195
Italy,1,males,2013-Q4,40.216387,15,24,Nord-ovest,34.06214
Italy,1,males,2013-Q4,40.216387,15,24,Nord-est,24.914129
Italy,1,males,2013-Q4,40.216387,15,24,Centro (I),34.928508
Italy,1,males,2013-Q4,40.216387,15,24,Mezzogiorno,53.790775
Italy,1,males,2013-Q3,37.001133,15,24,Nord,26.319007
Italy,1,males,2013-Q3,37.001133,15,24,Nord-ovest,30.033473
Italy,1,males,2013-Q3,37.001133,15,24,Nord-est,20.825009
Italy,1,males,2013-Q3,37.001133,15,24,Centro (I),34.906924
Italy,1,males,2013-Q3,37.001133,15,24,Mezzogiorno,50.134561
Italy,1,males,2014-Q2,41.766559,15,24,Nord,29.612749
Italy,1,males,2014-Q2,41.766559,15,24,Nord-ovest,34.479059
Italy,1,males,2014-Q2,41.766559,15,24,Nord-est,22.812896
Italy,1,males,2014-Q2,41.766559,15,24,Centro (I),39.719066
Italy,1,males,2014-Q2,41.766559,15,24,Mezzogiorno,56.80297
Italy,1,males,2014-Q1,44.771906,15,24,Nord,31.131108
Italy,1,males,2014-Q1,44.771906,15,24,Nord-ovest,34.916676
Italy,1,males,2014-Q1,44.771906,15,24,Nord-est,26.118542
Italy,1,males,2014-Q1,44.771906,15,24,Centro (I),44.256667
Italy,1,males,2014-Q1,44.771906,15,24,Mezzogiorno,61.2998
Italy,1,males,2014-Q4,40.328453,15,24,Nord,29.293617
Italy,1,males,2014-Q4,40.328453,15,24,Nord-ovest,34.71597
Italy,1,males,2014-Q4,40.328453,15,24,Nord-est,22.320579
Italy,1,males,2014-Q4,40.328453,15,24,Centro (I),40.81473
Italy,1,males,2014-Q4,40.328453,15,24,Mezzogiorno,52.883414
Italy,1,males,2014-Q3,38.452633,15,24,Nord,26.851968
Italy,1,males,2014-Q3,38.452633,15,24,Nord-ovest,31.673396
Italy,1,males,2014-Q3,38.452633,15,24,Nord-est,20.437143
Italy,1,males,2014-Q3,38.452633,15,24,Centro (I),37.063655
Italy,1,males,2014-Q3,38.452633,15,24,Mezzogiorno,52.096419
Italy,1,males,2015-Q1,42.132449,15,24,Nord,31.441619
Italy,1,males,2015-Q1,42.132449,15,24,Nord-ovest,36.524114
Italy,1,males,2015-Q1,42.132449,15,24,Nord-est,24.248515
Italy,1,males,2015-Q1,42.132449,15,24,Centro (I),41.619667
Italy,1,males,2015-Q1,42.132449,15,24,Mezzogiorno,54.021784
Italy,1,males,2015-Q2,39.773325,15,24,Nord,27.46542
Italy,1,males,2015-Q2,39.773325,15,24,Nord-ovest,32.559532
Italy,1,males,2015-Q2,39.773325,15,24,Nord-est,20.234966
Italy,1,males,2015-Q2,39.773325,15,24,Centro (I),36.16792
Italy,1,males,2015-Q2,39.773325,15,24,Mezzogiorno,54.793394
Italy,1,males,2015-Q4,39.187959,15,24,Nord,27.59504
Italy,1,males,2015-Q4,39.187959,15,24,Nord-ovest,32.47557
Italy,1,males,2015-Q4,39.187959,15,24,Nord-est,20.576733
