reg_name,reg_istat_code_num
Piemonte,1
Valle d'Aosta/Vallée d'Aoste,2
Lombardia,3
Trentino-Alto Adige/Südtirol,4
Veneto,5
Friuli-Venezia Giulia,6
Liguria,7
Emilia-Romagna,8
Toscana,9
Umbria,10
Marche,11
Lazio,12
Abruzzo,13
Molise,14
Campania,15
Puglia,16
Basilicata,17
Calabria,18
Sicilia,19
Sardegna,20
